player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option
Bradley Beal,bealbr01,LAC,24737010,5,False,True,False
Paul Reed,reedpa01,DET,5335894,2,False,False,False
Dereck Lively II,livelde01,DAL,5253360,2,False,False,True
Nikola Topić,topicni01,OKC,5182920,3,False,False,True
Derik Queen,queende01,NOP,5157960,4,True,False,True
Kevin Porter Jr.,porteke02,MIL,5134000,2,False,True,False
Marcus Smart,smartma01,LAL,19920855,2,False,True,False
Andre Drummond,drumman01,PHI,5000000,1,False,True,False
Moritz Wagner,wagnemo01,ORL,5000000,1,False,False,False
Nick Richards,richani01,CHI,5000000,1,False,False,False
Gradey Dick,dickgr01,TOR,4990560,2,False,False,True
Malaki Branham,branhma01,CHO,4962033,1,False,False,True
Devin Carter,cartede02,SAC,4923720,3,False,False,True
Christian Braun,braunch01,DEN,4921797,6,False,False,True
Carter Bryant,bryanca01,SAS,4900320,4,True,False,True
Walker Kessler,kesslwa01,UTA,4878938,1,False,False,True
Jordan Hawkins,hawkijo01,NOP,4741320,2,False,False,True
Bub Carrington,carrica01,WAS,4677600,3,False,False,True
Thomas Sorber,sorbeth01,OKC,4655040,4,True,False,True
Kobe Bufkin,bufkiko01,BRK,5480297,1,False,False,True
Jose Alvarado,alvarjo01,NYK,4500000,2,False,True,False
Nikola Jović,jovicni01,MIA,4445417,5,False,False,True
Kel'el Ware,wareke01,MIA,4443360,3,False,False,True
Yang Hansen,yangha01,POR,4422360,4,True,False,True
Peyton Watson,watsope01,DEN,4356476,1,False,False,True
Miles McBride,mcbrimi01,NYK,4333333,2,False,False,False
Keyonte George,georgke01,UTA,4278960,2,False,False,True
Jared McCain,mccaija01,OKC,4221360,3,False,False,True
Joan Beringer,berinjo01,MIN,4201080,4,True,False,True
Kevin Love,loveke01,UTA,4150000,1,False,False,False
Dalton Knecht,knechda01,LAL,4010160,3,False,False,True
Ryan Rollins,rolliry01,MIL,4000000,3,False,True,False
Dwight Powell,poweldw01,DAL,4000000,1,False,True,False
Walter Clayton,claytwa01,MEM,3991320,4,True,False,True
Jaime Jaquez Jr.,jaqueja01,MIA,3861600,2,False,False,True
Nolan Traoré,traorno01,BRK,3811560,4,True,False,True
Daniss Jenkins,jenkida01,DET,3809524,2,False,False,True
Tristan Da Silva,dasiltr01,ORL,3809520,3,True,False,True
Cole Anthony,anthoco01,MEM,5996274,3,False,False,False
Gary Trent Jr.,trentga02,MIL,3697105,2,False,True,False
Brandin Podziemski,podzibr01,GSW,3687960,2,False,False,True
Svi Mykhailiuk,mykhasv01,UTA,3675000,3,False,False,True
Kasparas Jakučionis,jakucka01,MIA,3658800,4,True,False,True
Ja'Kobe Walter,walteja01,TOR,3638160,3,False,False,True
Gary Harris,harriga01,MIL,3634153,2,False,True,False
Cam Whitmore,whitmca01,WAS,3539760,2,False,False,True
Will Riley,rileywi01,WAS,3512520,4,True,False,True
