player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option,yearly_salaries
Stephen Curry,curryst01,GSW,62587158,1,False,False,False,62587158
Nikola Jokić,jokicni01,DEN,59033114,2,False,True,False,59033114|62841702
Jayson Tatum,tatumja01,BOS,58456566,4,False,True,False,58456566|62786682|67116798|71446914
Anthony Davis,davisan02,WAS,58456566,2,False,True,False,58456566|62786682
Giannis Antetokounmpo,antetgi01,MIA,58456566,2,False,True,False,58456566|62786682
Joel Embiid,embiijo01,PHI,58100000,3,False,True,False,58100000|62748000|67396000
Jaylen Brown,brownja02,PHI,57078728,3,False,False,False,57078728|61015192|64951656
Devin Booker,bookede01,PHO,57078728,4,False,True,False,57078728|61015192|64065952|69191228
Karl-Anthony Towns,townska01,NYK,57078728,2,False,True,False,57078728|61015192
Jimmy Butler,butleji01,GSW,56832773,1,False,False,False,56832773
Paul George,georgpa01,BOS,54126380,2,False,True,False,54126380|56586670
Kawhi Leonard,leonaka01,LAC,50300000,1,False,False,False,50300000
Donovan Mitchell,mitchdo01,CLE,50105628,5,False,True,False,50105628|60911900|65784852|70657804|75530756
Cade Cunningham,cunnica01,DET,50105628,4,False,False,False,50105628|53817156|57528684|61240212
Evan Mobley,mobleev01,CLE,50105628,4,False,False,False,50105628|53817156|57528684|61240212
Jamal Murray,murraja01,DEN,50105628,3,False,False,False,50105628|53817156|57528684
De'Aaron Fox,foxde01,SAS,49800000,4,False,False,False,49800000|53784000|57768000|61752000
Bam Adebayo,adebaba01,MIA,49800000,3,False,True,False,49800000|53784000|57768000
Luka Dončić,doncilu01,LAL,49800000,3,False,True,False,49800000|53784000|57768000
Trae Young,youngtr01,WAS,49488300,4,False,True,False,49488300|50478066|54437130|58396194
Jaren Jackson Jr.,jacksja02,UTA,49000000,4,False,True,False,49000000|50500000|52000000|53500000
Zach LaVine,lavinza01,SAC,48967380,1,False,True,False,48967380
Anthony Edwards,edwaran01,MIN,48924624,3,False,False,False,48924624|52298736|55672848
Tyrese Haliburton,halibty01,IND,48924624,3,False,False,False,48924624|52298736|55672848
Pascal Siakam,siakapa01,IND,48924624,2,False,False,False,48924624|52298736
Lauri Markkanen,markkla01,UTA,46113154,3,False,False,False,46113154|49824681|53536209
Domantas Sabonis,sabondo01,SAC,45472000,2,False,False,False,45472000|48608000
Kevin Durant,duranke01,HOU,43902439,2,False,True,False,43902439|46097561
OG Anunoby,anunoog01,NYK,42500000,3,False,True,False,42500000|45431034|48362068
James Harden,hardeja01,CLE,42317307,1,False,True,False,42317307
Ja Morant,moranja01,POR,42166510,2,False,False,False,42166510|44886930
