player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option,yearly_salaries
Zion Williamson,willizi01,NOP,42166510,2,False,False,False,42166510|44886930
Darius Garland,garlada01,LAC,42166510,2,False,False,False,42166510|44886930
Scottie Barnes,barnesc01,TOR,41754690,4,False,False,False,41754690|44847630|47940570|51033510
Franz Wagner,wagnefr01,ORL,41754690,4,False,False,False,41754690|44847630|47940570|51033510
Jalen Williams,willija06,OKC,41500000,5,False,False,False,41500000|44820000|48140000|51460000|54780000
Chet Holmgren,holmgch01,OKC,41500000,5,False,False,False,41500000|44820000|48140000|51460000|54780000
Paolo Banchero,banchpa01,ORL,41500000,5,False,True,False,41500000|44820000|48140000|51460000|54780000
Austin Reaves,reaveau01,LAL,41240250,4,False,True,False,41240250|44539470|47838690|51137910
Shai Gilgeous-Alexander,gilgesh01,OKC,40806150,5,False,True,False,40806150|61005000|65885400|70765800|75646200
Michael Porter Jr.,portemi01,BRK,40806150,1,False,False,False,40806150
Tyrese Maxey,maxeyty01,PHI,40770520,3,False,False,False,40770520|43582280|46394040
LaMelo Ball,ballla01,MIN,40770520,3,False,False,False,40770520|43582280|46394040
Brandon Ingram,ingrabr01,TOR,40000000,2,False,True,False,40000000|41904762
Kyrie Irving,irvinky01,DAL,39491282,2,False,True,False,39491282|42416562
Desmond Bane,banede01,ORL,39446090,3,False,False,False,39446090|42166510|44886930
Jalen Brunson,brunsja01,NYK,37739521,3,False,True,False,37739521|40535041|43330561
Rudy Gobert,goberru01,MIN,36500000,2,False,True,False,36500000|38000000
Jalen Green,greenja05,PHO,36251166,2,False,True,False,36251166|36000000
Alperen Şengün,sengual01,HOU,35642202,4,False,True,False,35642202|37339450|39036697|39036697
Jrue Holiday,holidjr01,POR,34800000,2,False,True,False,34800000|37200000
Jerami Grant,grantje01,MEM,34206898,2,False,True,False,34206898|36413790
Jordan Poole,poolejo01,NOP,34044642,1,False,False,False,34044642
Aaron Gordon,gordoaa01,DEN,33658037,3,False,True,False,33658037|36350680|39043323
Mikal Bridges,bridgmi01,NYK,33482145,4,False,True,False,33482145|36160714|38839285|41517856
Julius Randle,randlju01,BRK,33333334,2,False,True,False,33333334|35802468
Tyler Herro,herroty01,MIL,33000000,1,False,False,False,33000000
Dejounte Murray,murrade01,NOP,32785071,2,False,True,False,32785071|30751504
Immanuel Quickley,quickim01,TOR,32500000,3,False,False,False,32500000|32500000|32500000
Jalen Suggs,suggsja01,ORL,32400000,4,False,False,True,32400000|29600000|26800000|26700000
Derrick White,whitede01,BOS,30348000,3,False,True,False,30348000|32596000|34844000
Walker Kessler,kesslwa01,LAL,30232558,4,False,True,False,30232558|31744186|33255814|34767442
Andrew Wiggins,wiggian01,MIA,30169644,3,False,True,False,30169644|16346154|17653846
Jalen Johnson,johnsja05,ATL,30000000,4,False,False,False,30000000|30000000|30000000|30000000
RJ Barrett,barrerj01,TOR,29616071,1,False,False,False,29616071
Jarrett Allen,allenja01,CLE,28000000,3,False,False,False,28000000|30240000|32480000
Draymond Green,greendr01,GSW,27678571,1,False,True,False,27678571
Trey Murphy III,murphtr02,NOP,27000000,3,False,False,False,27000000|29000000|31000000
Devin Vassell,vassede01,SAS,27000000,3,False,False,False,27000000|24652174|27000000
Myles Turner,turnemy01,MIL,26584164,3,False,True,False,26584164|27850077|29115990
Jaden McDaniels,mcdanja02,MIN,26200001,3,False,False,False,26200001|28006898|29813790
Dyson Daniels,daniedy01,ATL,25000000,4,False,False,False,25000000|25000000|25000000|25000000
Josh Giddey,giddejo01,CHI,25000000,3,False,False,False,25000000|25000000|25000000
Fred VanVleet,vanvlfr01,HOU,25000000,1,False,True,False,25000000
De'Andre Hunter,huntede01,SAC,24910714,1,False,False,False,24910714
Jonathan Kuminga,kuminjo01,ATL,24300000,1,False,False,True,24300000
Keegan Murray,murrake02,SAC,24137936,5,False,False,False,24137936|26068965|27999999|29931033|31862067
Jabari Smith Jr.,smithja05,HOU,23643411,5,False,False,False,23643411|21751940|23643411|25534883|27426355
Naz Reid,reidna01,CHO,23275862,4,False,True,False,23275862|25000000|26724138|28448276
Isaiah Hartenstein,harteis01,OKC,23148148,3,False,False,False,23148148|25000000|26851852
Nic Claxton,claxtni01,CHI,23147727,2,False,False,False,23147727|20943184
Cameron Johnson,johnsca02,DEN,23062500,1,False,False,False,23062500
Coby White,whiteco01,CHO,22839506,3,False,False,False,22839506|24666667|26493827
Miles Bridges,bridgmi02,PHO,22826087,1,False,False,False,22826087
Damian Lillard,lillada01,MIL,35915403,4,False,True,False,35915403|36620603|22516603|22516603
Kentavious Caldwell-Pope,caldwke01,MEM,21621500,1,False,True,False,21621500
Christian Braun,braunch01,DEN,21551726,5,False,False,False,21551726|23275863|25000000|26724137|28448274
Norman Powell,powelno01,CHI,21500000,2,False,False,True,21500000|22575000
CJ McCollum,mccolcj01,ATL,21000000,1,False,False,False,21000000
Josh Hart,hartjo01,NYK,20923760,2,False,False,True,20923760|22375280
Kyle Kuzma,kuzmaky01,MIL,20345152,1,False,False,False,20345152
Ivica Zubac,zubaciv01,IND,20342140,2,False,False,False,20342140|21790300
Malik Monk,monkma01,SAC,20190035,2,False,True,False,20190035|21582451
Shaedon Sharpe,sharpsh01,POR,20089287,4,False,False,False,20089287|21696429|23303571|24910713
Dillon Brooks,brookdi01,PHO,19992727,1,False,False,False,19992727
P.J. Washington,washipj01,DAL,19813044,4,False,False,False,19813044|21398088|22983132|24568176
Alex Caruso,carusal01,OKC,19550160,3,False,False,False,19550160|20998320|22446480
Andrew Nembhard,nembhan01,IND,19550160,2,False,False,False,19550160|20998320
Kristaps Porziņģis,porzikr01,GSW,19512195,2,False,True,False,19512195|20487805
Jakob Poeltl,poeltja01,TOR,19500000,4,False,True,False,19500000|27300000|29484000|27300000
Bradley Beal,bealbr01,PHO,25004710,4,False,True,False,25004710|19383010|19383010|19383010
Ayo Dosunmu,dosunay01,MIN,19310345,5,False,True,False,19310345|20855173|22400001|23944829|25489652
Luguentz Dort,dortlu01,OKC,18222222,1,False,False,True,18222222
Grayson Allen,allengr01,CHO,18125000,2,False,True,False,18125000|19375000
Wendell Carter Jr.,cartewe01,ORL,18102000,3,False,False,True,18102000|19550160|20998320
Toumani Camara,camarto01,POR,18080358,4,False,False,False,18080358|19526786|20973214|22419642
Patrick Williams,willipa01,CHI,18000000,3,False,True,False,18000000|18000000|18000000
Keldon Johnson,johnske04,SAS,17500000,1,False,False,False,17500000
Klay Thompson,thompkl01,DAL,17460317,1,False,False,False,17460317
Daniel Gafford,gaffoda01,DAL,17263584,3,False,False,False,17263584|18126763|18989942
Santi Aldama,aldamsa01,DAL,17007043,2,False,False,True,17007043|17007043
John Collins,collijo01,DET,17000000,3,False,False,False,17000000|17000000|17000000
Victor Wembanyama,wembavi01,SAS,16868246,6,False,True,True,16868246|43500000|46980000|50460000|53940000|57420000
Max Strus,strusma01,CLE,16660836,1,False,False,False,16660836
Nikola Jović,jovicni01,MIA,16200000,4,False,False,False,16200000|14904000|15096000|16200000
Onyeka Okongwu,okongon01,ATL,16120000,2,False,False,False,16120000|16880000
Duncan Robinson,robindu01,DET,15992957,2,False,False,False,15992957|15151222
Terance Mann,mannte01,BRK,15500000,2,False,False,False,15500000|16000000
Brandon Miller,millebr02,CHO,15104626,1,False,False,True,15104626
Mitchell Robinson,robinmi01,BOS,15044000,3,False,False,False,15044000|15796200|16548400
Tobias Harris,harrito02,SAS,15044000,2,False,False,False,15044000|15796200
Obi Toppin,toppiob01,IND,15000000,2,False,False,False,15000000|16025000
Isaiah Stewart,stewais01,MEM,15000000,2,False,False,True,15000000|15000000
Herbert Jones,joneshe01,NOP,14898786,4,False,True,False,14898786|20858300|22526964|24195628
Caris LeVert,leverca01,MIL,14809200,1,False,False,False,14809200
Dennis Schröder,schrode01,CLE,14809200,2,False,False,False,14809200|15514400
AJ Dybantsa,dybanaj01,WAS,14748000,4,False,False,True,14748000|15485760|16223040|20457254
Josh Green,greenjo02,MIN,14679012,1,False,False,False,14679012
Bobby Portis,portibo01,MIA,14521414,2,False,True,False,14521414|15597074
Cooper Flagg,flaggco01,DAL,14517480,3,False,False,True,14517480|15208680|19178146
Nickeil Alexander-Walker,alexani01,ATL,14403710,3,False,True,False,14403710|15161800|15919890
Grant Williams,willigr01,CHO,14265750,1,False,False,False,14265750
Jock Landale,landajo01,ATL,14100000,1,False,False,False,14100000
Tari Eason,easonta01,HOU,14051724,5,False,True,False,14051724|15175862|16300000|17424138|18548276
Rui Hachimura,hachiru01,LAC,14000000,2,False,False,True,14000000|14000000
Corey Kispert,kispeco01,ATL,13975000,3,False,False,True,13975000|13050000|13050000
Robert Williams,williro04,POR,13968254,3,False,False,False,13968254|14666667|15365079
Quentin Grimes,grimequ01,LAL,13953489,4,False,True,False,13953489|14651163|15348837|16046511
Julian Champagnie,champju02,SAS,13888889,3,False,False,False,13888889|15000000|16111111
Zaccharie Risacher,risacza01,ATL,13826040,2,False,False,True,13826040|17434637
Scoot Henderson,hendesc01,POR,13585523,1,False,False,True,13585523
Damian Lillard,lillada01,POR,35915403,4,False,True,False,35915403|36620603|22516603|22516603
Dorian Finney-Smith,finnedo01,CHO,13335000,3,False,True,False,13335000|13335000|13335000
Darryn Peterson,peterda02,UTA,13195320,4,False,False,True,13195320|13855320|14515320|18318335
Deni Avdija,avdijde01,POR,13125000,2,False,False,False,13125000|11875000
Sandro Mamukelashvili,mamuksa01,LAL,13000000,4,False,True,False,13000000|12350000|13000000|13650000
Steven Adams,adamsst01,HOU,13000000,2,False,False,False,13000000|11869566
Dylan Harper,harpedy01,SAS,12989040,3,False,False,True,12989040|13607760|17172994
Donte DiVincenzo,divindo01,MIN,12535000,1,False,False,False,12535000
Moses Moody,moodymo01,GSW,12500000,2,False,False,False,12500000|13425925
Brandon Clarke,clarkbr01,MEM,12500000,1,False,False,False,12500000
Jarred Vanderbilt,vandeja01,LAL,12428571,2,False,True,False,12428571|13285714
Davion Mitchell,mitchda01,MIA,12400000,1,False,False,False,12400000
Alex Sarr,sarral01,WAS,12370680,2,False,False,True,12370680|15611798
Amen Thompson,thompam01,HOU,12258609,1,False,False,True,12258609
Isaac Okoro,okorois01,CHI,11814814,1,False,False,False,11814814
Mark Williams,willima07,PHO,11728395,3,False,False,False,11728395|12666667|13604938
VJ Edgecombe,edgecvj01,PHI,11663880,3,False,False,True,11663880|12219720|15445727
Isaiah Joe,joeis01,DET,11323006,2,False,False,True,11323006|11323006
Ausar Thompson,thompau01,DET,11117925,1,False,False,True,11117925
Reed Sheppard,sheppre01,HOU,11108880,2,False,False,True,11108880|14041625
Aaron Nesmith,nesmiaa01,IND,11000000,3,False,False,False,11000000|19418000|20971440
T.J. McConnell,mccontj01,IND,11000000,3,False,False,True,11000000|11800000|11800000
Royce O'Neale,onealro01,CHO,10875000,2,False,False,False,10875000|11625000
Sam Hauser,hausesa01,BOS,10848215,3,False,False,False,10848215|11651785|12455356
Collin Gillespie,gilleco01,PHO,10714286,4,False,False,False,10714286|11571429|12428571|13285714
Caleb Wilson,wilsoca01,CHI,10683720,4,False,False,True,10683720|11217960|11752320|14866685
Jusuf Nurkić,nurkiju01,UTA,10576923,2,False,False,False,10576923|11423077
Kon Knueppel,knuepko01,CHO,10516560,3,False,False,True,10516560|11017560|13937214
Derrick Jones Jr.,jonesde02,LAC,10476190,1,False,False,False,10476190
Luke Kornet,kornelu01,SAS,10450000,3,False,False,True,10450000|9900000|9350000
Anthony Black,blackan01,ORL,10106316,1,False,False,True,10106316
A.J. Green,greenaj01,MIL,10044644,4,False,False,False,10044644|10848215|11651786|12455355
Stephon Castle,castlst01,SAS,10015920,2,False,False,True,10015920|12670139
Caleb Martin,martica02,DAL,10001493,2,False,True,False,10001493|9371351
Day'Ron Sharpe,sharpda01,BRK,10000000,2,False,False,True,10000000|10000000
Keaton Wagler,wagleke01,LAC,9674760,4,False,False,True,9674760|10158240|10641960|13483364
Buddy Hield,hieldbu01,ATL,9658536,2,False,True,False,9658536|10097560
Ace Bailey,baileac01,UTA,9523080,3,False,False,True,9523080|9976560|12640302
Naji Marshall,marshna01,DAL,9428571,1,False,False,False,9428571
Jalen Smith,smithja04,CHI,9428571,1,False,False,False,9428571
Collin Sexton,sextoco01,LAL,9366000,2,False,False,False,9366000|9834300
Bilal Coulibaly,coulibi01,WAS,9240012,1,False,False,True,9240012
Aaron Wiggins,wiggiaa01,ATL,9224300,3,False,False,True,9224300|8345797|8345797
Ty Jerome,jeromty01,MEM,9220050,2,False,True,False,9220050|9659100
Brook Lopez,lopezbr01,LAC,9187500,1,False,False,True,9187500
Sam Merrill,merrisa01,CLE,9160715,3,False,False,False,9160715|9839285|10517856
Ron Holland,hollaro01,DET,9069600,2,False,False,True,9069600|11491183
Dean Wade,wadede01,PHI,9000000,4,False,False,False,9000000|9450000|9900000|10350000
Mikel Brown Jr.,brownmi02,BRK,8787000,4,False,False,True,8787000|9226440|9666000|12256488
Keon Ellis,elliske01,BRK,8780488,2,False,False,False,8780488|9219512
Tre Johnson,johnstr03,WAS,8649600,3,False,False,True,8649600|9061680|11490211
Jarace Walker,walkeja02,IND,8478542,1,False,False,True,8478542
Kevin Huerter,huertke01,DET,8333333,3,False,False,False,8333333|9000000|9666667
Zach Collins,colliza01,CHI,8292683,2,False,False,False,8292683|8707317
Quinten Post,postqu01,MEM,8285714,3,False,False,False,8285714|8700000|9114286
Max Christie,chrisma02,DAL,8285714,2,False,True,False,8285714|8857143
Tidjane Salaün,salauti01,CHO,8237880,2,False,False,True,8237880|10445633
Deandre Ayton,aytonde01,WAS,8104000,1,False,True,False,8104000
Kelly Oubre Jr.,oubreke01,IND,8050000,2,False,False,False,8050000|8450000
Darius Acuff Jr.,acuffda01,SAC,8021640,4,False,False,True,8021640|8422920|8823600|11205972
Jonathan Isaac,isaacjo01,ORL,10449421,1,False,False,False,10449421
Harrison Barnes,barneha02,SAS,8000000,1,False,False,False,8000000
Tre Mann,manntr01,CHO,8000000,2,False,False,True,8000000|8000000
Tre Jones,jonestr01,CHI,8000000,2,False,False,True,8000000|8000000
Kevon Looney,looneke01,NOP,10449421,1,False,False,True,10449421
Jeremiah Fears,fearsje01,NOP,7896240,3,False,False,True,7896240|8271960|10505389
Taylor Hendricks,hendrta01,MEM,7805900,1,False,False,True,7805900
Jaylin Williams,willija07,OKC,7774648,2,False,False,True,7774648|7774648
Payton Pritchard,pritcpa01,BOS,7767857,2,False,False,False,7767857|8303571
Goga Bitadze,bitadgo01,ORL,7608696,1,False,False,False,7608696
Donovan Clingan,clingdo01,POR,7519920,2,False,False,True,7519920|9550298
Zeke Nnaji,nnajize01,DEN,7466667,2,False,True,False,7466667|7466667
Cason Wallace,wallaca01,OKC,7420806,1,False,False,True,7420806
Kingston Flemings,flemiki01,ATL,7348680,4,False,False,True,7348680|7716120|8083680|10282441
Jett Howard,howarje01,ORL,7337939,1,False,False,True,7337939
Dereck Lively II,livelde01,DAL,7239131,1,False,False,True,7239131
Egor Dёmin,demineg01,BRK,7233720,3,False,False,True,7233720|7578240|9639522
Gradey Dick,dickgr01,TOR,7131511,1,False,False,True,7131511
Clint Capela,capelca01,HOU,7035000,2,False,False,False,7035000|7370000
Jordan Hawkins,hawkijo01,NOP,7021895,1,False,False,True,7021895
Isaiah Jackson,jacksis01,LAC,7000000,2,False,False,False,7000000|6400000
Rob Dillingham,dilliro01,CHI,6889320,2,False,False,True,6889320|8763216
Al Horford,horfoal01,GSW,6822000,2,False,False,False,6822000|7163100
Morez Johnson Jr.,johnsmo01,DAL,6754800,4,False,False,True,6754800|7093080|7430640|9466636
Collin Murray-Boyles,murraco01,TOR,6649560,3,False,False,True,6649560|6966000|8874684
Keyonte George,georgke01,UTA,6563925,1,False,False,True,6563925
Tim Hardaway Jr.,hardati02,MIA,6500000,1,False,False,False,6500000
Saddiq Bey,beysa01,NOP,6440678,1,False,False,False,6440678
Brayden Burries,burribr01,MIL,6417360,4,False,False,True,6417360|6738000|7058520|8999614
Zach Edey,edeyza01,MEM,6332760,2,False,False,True,6332760|8067937
Khaman Maluach,maluakh01,PHO,6316680,3,False,False,True,6316680|6617160|8436880
Ziaire Williams,willizi02,BRK,6250000,1,False,False,True,6250000
John Konchar,konchjo01,UTA,6165000,1,False,False,False,6165000
Yaxel Lendeborg,lendeya01,GSW,6096240,4,False,False,True,6096240|6401280|6706200|8899128
Marcus Smart,smartma01,HOU,6064000,2,False,True,False,6064000|6367200
Cody Williams,willico04,UTA,6015600,2,False,False,True,6015600|7669890
Cedric Coward,cowarce01,MEM,6001080,3,False,False,True,6001080|6286920|8342743
Jaxson Hayes,hayesja02,UTA,6000000,2,False,False,True,6000000|6000000
Josh Okogie,okogijo01,UTA,6000000,2,False,False,True,6000000|6000000
Anfernee Simons,simonan01,PHI,6000000,2,False,True,False,6000000|6300000
Jake LaRavia,laravja01,LAL,6000000,1,False,False,False,6000000
Jaden Hardy,hardyja02,LAL,6000000,2,False,False,True,6000000|6000000
D'Angelo Russell,russeda01,MEM,5969250,1,False,True,False,5969250
Jaime Jaquez Jr.,jaqueja01,MIL,5939141,1,False,False,True,5939141
Nicolas Batum,batumni01,LAC,5881680,1,False,False,True,5881680
Jordan Goodwin,goodwjo01,PHO,5864198,3,False,True,False,5864198|6333333|6802469
Aday Mara,maraad01,OKC,5791680,4,False,False,True,5791680|6081480|6371160|8779459
Ousmane Dieng,diengou01,MIL,5750000,3,False,False,True,5750000|5750000|5750000
Matas Buzelis,buzelma01,CHI,5715360,2,False,False,True,5715360|7584283
Noa Essengue,essenno01,CHI,5701200,3,False,False,True,5701200|5972760|8230464
Kris Dunn,dunnkr01,LAC,5684800,1,False,False,False,5684800
Brandin Podziemski,podzibr01,GSW,5679459,1,False,False,True,5679459
Bradley Beal,bealbr01,LAC,25004710,4,False,True,False,25004710|19383010|19383010|19383010
Paul Reed,reedpa01,DET,5602689,1,False,False,False,5602689
Khris Middleton,middlkh01,WAS,5591122,3,False,False,False,5591122|5870678|6150234
Nate Ament,amentna01,MIL,5502000,4,False,False,True,5502000|5777280|6052200|8648594
Precious Achiuwa,achiupr01,SAC,5477000,2,False,False,False,5477000|5750850
Cam Whitmore,whitmca01,WAS,5458310,1,False,False,True,5458310
Nikola Topić,topicni01,OKC,5429760,2,False,False,True,5429760|7482210
Derik Queen,queende01,NOP,5416080,3,False,False,True,5416080|5673840|8107918
Noah Clowney,clownno01,BRK,5414034,1,False,False,True,5414034
Kevin Porter Jr.,porteke02,MIL,5390700,1,False,True,False,5390700
Landry Shamet,shamela01,NYK,5357143,4,False,False,False,5357143|5785714|6214286|6642857
Kris Murray,murrakr01,MEM,5315004,1,False,False,True,5315004
Jordan Miller,millejo02,LAC,5300000,3,False,False,True,5300000|5000000|5000000
Hannes Steinbach,steinha02,CHO,5227200,4,False,False,True,5227200|5488560|5750160|8515987
Marcus Sasser,sassema01,DAL,5198983,1,False,False,True,5198983
Devin Carter,cartede02,ATL,5158080,2,False,False,True,5158080|7370897
Carter Bryant,bryanca01,SAS,5145360,3,False,False,True,5145360|5390640|7983539
Ben Sheppard,sheppbe01,IND,5031669,1,False,False,True,5031669
Kenrich Williams,willike04,OKC,5000000,1,False,False,False,5000000
Dailyn Swain,swainda01,CHI,4965480,4,False,False,True,4965480|5213760|5461920|8373124
Bub Carrington,carrica01,WAS,4900560,2,False,False,True,4900560|7257730
Thomas Sorber,sorbeth01,OKC,4887720,3,False,False,True,4887720|5120400|7849573
Brice Sensabaugh,sensabr01,UTA,4862237,1,False,False,True,4862237
Julian Strawther,strawju01,DEN,4826931,1,False,False,True,4826931
Bennett Stirtz,stirtbe01,OKC,4717320,4,False,False,True,4717320|4953240|5189400|7960540
Kel'el Ware,wareke01,MIL,4654920,2,False,False,True,4654920|7135992
Yang Hansen,yangha01,POR,4643520,3,False,False,True,4643520|4864920|7462788
Gui Santos,santogu01,GSW,4629630,3,False,True,False,4629630|5000000|5370370
Jose Alvarado,alvarjo01,NYK,4500000,3,False,False,False,4500000|4860000|5220000
Josh Minott,minotjo01,BRK,4500000,2,False,False,True,4500000|4500000
Ebuka Okorie,okorieb01,DET,4481280,4,False,False,True,4481280|4705440|4929360|7571497
Jared McCain,mccaija01,OKC,4422600,2,False,False,True,4422600|6784268
Joan Beringer,berinjo01,MIN,4411200,3,False,False,True,4411200|4621200|7098163
Christian Anderson Jr.,anderch02,CHO,4257480,4,False,False,True,4257480|4470000|4683120|7202639
Dalton Knecht,knechda01,LAL,4201080,2,False,False,True,4201080|6452860
Walter Clayton,claytwa01,MEM,4190520,3,False,False,True,4190520|4390320|6752312
Allen Graves,graveal01,TOR,4065720,4,False,False,True,4065720|4268880|4472640|6887866
Nolan Traoré,traorno01,BRK,4002000,3,False,False,True,4002000|4193040|6457282
Ryan Rollins,rolliry01,MIL,4000000,2,False,True,False,4000000|4000000
Daniss Jenkins,jenkida01,DET,4000000,1,False,False,True,4000000
Tristan Da Silva,dasiltr01,ORL,3991200,2,False,False,True,3991200|6138466
Miles McBride,mcbrimi01,NYK,3956523,1,False,False,False,3956523
Javonte Green,greenja02,DET,3943679,1,False,False,False,3943679
Jayden Quaintance,quainja01,SAS,3902760,4,False,False,True,3902760|4097880|4292880|6619621
Gary Trent Jr.,trentga02,MIL,3881960,1,False,True,False,3881960
DeAndre Jordan,jordade01,NOP,3876529,2,False,False,False,3876529|4070355
Svi Mykhailiuk,mykhasv01,UTA,3850000,2,False,False,True,3850000|4025000
Kasparas Jakučionis,jakucka01,MIL,3841680,3,False,False,True,3841680|4024440|6205687
Taurean Prince,princta02,DET,3815861,1,False,True,False,3815861
Gary Harris,harriga01,DET,3815861,1,False,True,False,3815861
Pat Connaughton,connapa01,CHO,3815861,1,False,False,False,3815861
Ja'Kobe Walter,walteja01,TOR,3811800,2,False,False,True,3811800|5870172
Cole Anthony,anthoco01,MEM,3700000,2,False,False,False,3700000|3700000
Will Riley,rileywi01,WAS,3688320,3,False,False,True,3688320|3864000|6155352
Jaylon Tyson,tysonja01,CLE,3658560,2,False,False,True,3658560|5641500
Labaron Philon Jr.,philola01,PHI,3597120,4,False,False,True,3597120|3776760|3956760|6508871
Drake Powell,poweldr01,BRK,3540600,3,False,False,True,3540600|3709320|6101832
Yves Missi,missiyv01,NOP,3512760,2,False,False,True,3512760|5595827
Zuby Ejiofor,ejiofzu01,ATL,3453360,4,False,False,True,3453360|3626160|3798360|6445818
De'Anthony Melton,meltode01,GSW,3451779,1,False,True,False,3451779
Dominick Barlow,barlodo01,PHI,3415000,1,False,False,True,3415000
Ariel Hukporti,hukpoar01,PHI,3400000,1,False,False,False,3400000
Asa Newell,newelas01,ATL,3399480,3,False,False,True,3399480|3560880|6042814
DaRon Holmes,holmeda01,DEN,3372120,2,False,False,True,3372120|5547138
Cameron Carr,carrca01,LAL,3315360,4,False,False,True,3315360|3481080|3646800|6378253
Mo Bamba,bambamo01,UTA,3286399,2,False,False,False,3286399|3681991
Nique Clifford,cliffni01,SAC,3263400,3,False,False,True,3263400|3418800|5979481
AJ Johnson,johnsaj01,MEM,3237120,2,False,False,True,3237120|5493394
Sergio de Larrea,delarse01,DAL,3182280,4,False,False,True,3182280|3341280|3500880|6305086
Ron Harper Jr.,harpero02,BOS,3150752,4,False,False,True,3150752|3308290|3465828|3779359
Jase Richardson,richaja02,ORL,3132360,3,False,False,True,3132360|3282000|5910882
Kyshawn George,georgky01,WAS,3108000,2,False,False,True,3108000|5435892
Nassir Little,littlna01,PHO,3107143,3,False,False,False,3107143|3107143|3107143
Jaylen Clark,clarkja02,MIN,3086420,3,False,False,False,3086420|3333334|3580246
Tarris Reed Jr.,reedjta01,SAS,3076920,4,False,False,True,3076920|3230520|3384480|6102218
Ben Saraf,sarafbe01,BRK,3028560,3,False,False,True,3028560|3172920|5720776
Haywood Highsmith,highsha01,PHO,3018158,1,False,False,False,3018158
Tarik Biberovic,biberta01,DAL,3000000,2,False,False,True,3000000|3000000
Kyle Filipowski,filipky01,UTA,3000000,2,False,False,True,3000000|3000000
Chris Cenac Jr.,cenacch01,BOS,2988120,4,False,False,True,2988120|3137640|3287400|5930470
Pacôme Dadiet,dadiepa01,NYK,2983680,2,False,False,True,2983680|5373608
Joshua Jefferson,jeffejo01,BRK,2969520,4,False,False,True,2969520|3118560|3266880|5896718
Alex Karaban,karabal01,SAC,2948280,4,False,False,True,2948280|3095640|3243120|5853832
Danny Wolf,wolfda01,BRK,2941440,3,False,False,True,2941440|3081840|5559640
Koa Peat,peatko01,PHO,2926800,4,False,False,True,2926800|3073080|3219840|5811811
Hugo González,gonzahu01,BOS,2923560,3,False,False,True,2923560|3062640|5528065
Liam McNeeley,mcneeli01,CHO,2902080,3,False,False,True,2902080|3040320|5487778
Yanic Konan Niederhäuser,konanya01,LAC,2880960,3,False,False,True,2880960|3018480|5448356
Ajay Mitchell,mitchaj01,OKC,2850000,2,False,False,True,2850000|2850000
Bones Hyland,hylanbo01,MIN,2845883,1,False,False,False,2845883
Terrence Shannon Jr.,shannte01,MIN,2801640,2,False,False,True,2801640|5054159
Micah Potter,pottemi01,POR,2801346,1,False,False,False,2801346
